title,company,address,experience,url,query,page,vacancy_id,matched_queries,description,skills,skills_count,python,r,java,scala,cpp,pandas,numpy,scipy,statsmodels,matplotlib,seaborn,plotly,power_bi,tableau,excel,power_query,dax,looker,qlik,metabase,sql,postgresql,mysql,ms_sql_server,oracle,clickhouse,mongodb,redis,sqlite,scikit_learn,xgboost,lightgbm,catboost,pytorch,tensorflow,keras,opencv,yolo,nlp,transformers,huggingface,llm,rag,langchain,llamaindex,openai_api,spark,hadoop,kafka,airflow,dbt,hive,snowflake,bigquery,databricks,docker,kubernetes,mlflow,dvc,git,github,gitlab,jenkins,ci_cd,aws,azure,gcp,fastapi,flask,django,rest_api,jupyter,notebook,sas,spss,title_clean,role,role_v1
Data Ananlyst / Аналитик Данных,Ventra,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136031153?query=Data+Analyst,Data Analyst,0,136031153,"['BI Analyst', 'Data Analyst']","Мы – HR-холдинг Ventra. Уже более 22 лет мы специализируемся на предоставлении инновационных решений, HR-консалтинга и гибкой занятости. Ventra входит в список лучших работодателей России по версии HH, подразделения группы компаний входят в рейтинги крупнейших ИТ-компаний, крупнейших трейд-маркетинговых агентств, а руководители группы – в список ТОП-1000 российских менеджеров. На текущий момент мы находимся в поиске активного, мотивированного Data Analyst/ Аналитика Данных в международную FMCG-компанию. Чем предстоит заниматься: Подготовка и обработка данных. EDA и принятие решений по методологии и подходу к анализу. Тестирование гипотез с помощью статистических методов/моделей. Регулярные встречи с заказчиками, презентация промежуточных результатов и сбор обратной связи. Подготовка презентаций с результатами анализа, визуализация данных. Что мы ждём от тебя: Опыт в аналитике от 1-го года. Высокий уровень владения Python, Pyspark, SQL для обработки данных и решения аналитических задач, опыт работы с Excel. Глубокое понимание теории вероятности и математической статистики, опыт использования статистических методов для решения практических задач. Опыт визуализации данных: Power BI/Tableau/любые другие BI-инструменты/пакеты для визуализации данных python. Базовое понимание работы с базами данных, ETL-процессов. Хорошие навыки коммуникации и взаимодействия с заказчиками для выявления потребностей. Аналитический склад ума и критическое мышление. Английский язык на уровне не ниже В1. Будет плюсом: Опыт работы с A/B тестами (от дизайна до анализа результатов) Опыт работы с causal inference Отпыт работы в FMCG/ритейле/e-commerce Что мы предлагаем: Полностью белое оформление по ТК РФ (белая заработная плата, отпуска, больничные); Оформление в ИТ-аккредитованную компанию (мобилизационная бронь, льготная ИТ-ипотека при наличии действующей); Возможность полностью удаленной работы на территории РФ","['python', 'power_bi', 'tableau', 'excel', 'sql', 'spark']",6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data ananlyst / аналитик данных,Data Analyst,Data Analyst
Аналитик данных,RUTUBE,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136365089?query=Data+Analyst,Data Analyst,0,136365089,['Data Analyst'],"Новая локация офиса: В ноябре переезжаем в новый офис в Сколково. Сейчас работаем на Соколе - пожалуйста, учитывайте это при отклике на вакансию. Обязанности: Помогать на уровне алгоритмов и SQL-запросов в формировании витрин данных (основные аналитические витрины, агрегаты с продуктовыми метриками, витрины для BI-отчетов); Взаимодействовать с продуктом, погружаться в цели и задачи бизнеса; Формировать новые витрины данных из аналитических источников. Требования: Опыт работы в профессии от 2 лет; Понимание особенностей сбора данных на веб-ресурсах и мобильных приложениях; Знание Яндекс Метрики, AppMetica на уровне сбора данных и логики формирования отчётов; Знание SQL, Python; Опыт работы с BI инструментами для визуализации данных (например, Tableau, Google Data Studio, Yandex Data Lens или Superset). Условия: Офис, где приятно быть — Уютное пространство с зонами коворкинга — выбирай, где работать Здоровье под защитой — ДМС (стоматология включена) — Врач прямо в офисе Вкусно и бесплатно — Фреш-бар от Novikov Group — Кофе, чай, фрукты, снэки — каждый день Отдых без компромиссов — Обеденные зоны с настолками и массажными креслами Yamaguchi Оформление по ТК РФ — Всё официально","['python', 'tableau', 'sql']",3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,аналитик данных,Data Analyst,Data Analyst
Специалист по управлению данными / Аналитик данных (Data Analyst/Data Engineer),ООО Бюро Цифровой Трансформации,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136299705?query=Data+Analyst,Data Analyst,0,136299705,"['BI Analyst', 'Data Analyst', 'Data Engineer']","Твои задачи: Работа с данными: Реализация шаблонов заполнения данных в системе сбора отчетов в low-code системе. Проектирование и поддержка витрин данных для BI-аналитики Разработка и автоматизация дашбордов в BI-системах Реализация ETL-процессов Взаимодействие с аналитиками, разработчиками и бизнес-заказчиками Автоматизация процессов обработки данных Умение работать в режиме многозадачности, высокая самоорганизация Наши ожидания: Опыт от 1 года в области анализа данных Уверенные знания SQL (JOIN, CTE, оконные функции, агрегаты, подзапросы) Понимание ETL-процессов и базовых принципов работы с данными Понимание архитектуры построения DWH Понимание ETL/ELT процессов и опыт работы с инструментами (Apache Airflow) Опыт работы с Python (pandas, numpy и др.) Опыт работы с BI-инструментами (знание Metabase будет плюсом) Способность объяснять сложные вещи простым языком, взаимодействовать с бизнес-заказчиком Условия и преимущества: Официальное трудоустройство, стабильная ""белая"" зарплата График 5/2 Участие в масштабных проектах федерального уровня Возможности для профессионального роста и развития Команда экспертов, поддержка и обмен опытом О компании ООО «БЦТ» — дочернее общество АО «Технодинамика», генеральный подрядчик по внедрению ИТ-решений для предприятий авиационной отрасли. Мы создаём единую защищённую цифровую платформу для автоматизации управления и развития производственных площадок. Присоединяйся к нам и стань частью команды, которая меняет будущее Российской промышленности!","['python', 'pandas', 'numpy', 'metabase', 'sql', 'airflow']",6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,специалист по управлению данными / аналитик данных (data analyst/data engineer),Data Engineer,Data Engineer
Аналитик данных (Power BI),TraffCloud,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136329784?query=Data+Analyst,Data Analyst,0,136329784,['Data Analyst'],"Мы - продуктовая компания в сфере онлайн-развлечений: разрабатываем и оперируем высоконагруженную B2C-платформу. У нас 7 собственных брендов в нескольких гео Азии, запускаем новые проекты с партнерами. Объем данных растет - ищем аналитика, который превратит их в управленческие решения. Обязанности: Когортный анализ трафика и оценка его окупаемости: 50+ источников, еженедельно вместе с командой маркетинга решаем, какие каналы масштабировать, а какие отключать; Анализ окупаемости когорт от первого платежа пользователя до выхода в плюс на горизонте ~6 месяцев; Управленческая отчетность: ключевые метрики пользователей и выручки продукта - DAU, MAU, revenue по новым и постоянным пользователям; Работа с моделью окупаемости: наложение факта на прогнозную модель, контроль план/факт, обновление модели; Развитие финансовой модели бизнеса: сведение доходных и расходных метрик, операционных затрат, прогноз роста и окупаемости закупаемого трафика; Анализ retention и паттернов поведения пользователей, поиск причин отклонений в метриках (продукт vs качество трафика); Подготовка регулярной отчетности для руководства и партнеров-инвесторов; Работа с данными на стыке двух баз (Oracle и PostgreSQL): сверка, консолидация, анализ и прогноз поведения пользователей. Требования: Подтвержденный опыт когортного анализа окупаемости трафика - ядро роли, проверяем в первую очередь; Уверенное владение Power BI и понимание принципов управленческой отчетности; Уверенный SQL: самостоятельная работа со структурой БД, построение витрин под задачи; Опыт работы с retention-метриками и моделями окупаемости; Продвинутый Google Sheets / Excel (сводные таблицы, ad-hoc расчеты); Математический склад ума, умение идти от общего к частному и находить причины провалов в метриках. Будет плюсом: Опыт построения финансовых/управленческих моделей (план-факт, прогнозирование); Опыт в мобильных играх, gaming-продуктах, подписках или SaaS - там, где есть когортная окупаемость трафика; Python для анализа данных; Использование AI-инструментов в работе аналитика (Claude Code, Codex и т.п.). Условия: Полностью удаленный формат работы; Фиксированная заработная плата: обсуждается по итогам интервью; Корпоративный английский 1 раз в неделю; Оплачиваемый отпуск 2 раза в год + Day Off.","['python', 'power_bi', 'excel', 'sql', 'postgresql']",5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,аналитик данных (power bi),Data Analyst,Data Analyst
Руководитель аналитики данных,ООО Альфа-Мобайл,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136187215?query=Data+Analyst,Data Analyst,0,136187215,['Data Analyst'],"Команда АЛЬФА-МОБАЙЛ это мобильный виртуальный оператор для клиентов одного из крупнейших банков страны – «Альфа-Банка», признанного в 2024 году технологическим лидером в области финтех. Команда MVNO - это команда профессионалов с многолетним опытом в Телеком и ИТ. Мы объединяем в себе передовые технологии в области коммуникации. Ищем руководителя, который выстроит функцию аналитики данных и BI, обеспечит единые стандарты работы с данными и поможет бизнесу принимать решения на основе качественной аналитики. Что предстоит делать: Руководить командой аналитиков данных. Развивать BI и управленческую отчетность. Формировать единые бизнес-метрики и методологию их расчета. Обеспечить единый источник данных и консистентность аналитики во всех отчетах. Контролировать качество данных и корректность расчетов. Автоматизировать регулярную отчетность и аналитические процессы. Приоритизировать задачи команды и обеспечивать своевременную поставку аналитических решений. Взаимодействовать с бизнес-подразделениями, помогая превращать бизнес-задачи в аналитические решения. Что мы ожидаем от вас: Опыт работы в аналитике данных от 5 лет. Опыт управления командой аналитиков от 2 лет. Отличное знание SQL. Опыт работы с Power BI или аналогичными BI-платформами. Понимание принципов построения хранилищ данных и работы с витринами данных. Опыт внедрения единых метрик, методологии расчета KPI и стандартов аналитики. Умение выстраивать процессы, распределять задачи и развивать команду. Сильные коммуникативные навыки и опыт взаимодействия с бизнесом. Будет преимуществом: Опыт работы в телекоме, банковской сфере или цифровых продуктах. Владение Python. Опыт построения продуктовой, коммерческой и финансовой аналитики. Что мы предлагаем: Стабильный и прозрачный доход (обсуждается на собеседовании). Официальное трудоустройство. Современный офис около метро Нахимовский проспект (в ближайшее время переезд метро Технопарк), отсутствие дресс-кода. Гибридный формат работы. Забота о здоровье - ДМС, страхование для выезда за рубеж. Бесплатная мобильная связь. Дружная и профессиональная команда и поддержка в адаптации и развитии.","['python', 'power_bi', 'sql']",3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,руководитель аналитики данных,Data Analyst,Other
Data Scientist,Ventra,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136311467?query=Data+Analyst,Data Analyst,0,136311467,"['Data Analyst', 'Data Scientist']","Требования: От 2 лет коммерческого опыта запуска дата-продуктов в продуктивной среде. Высшее образование и соответствующий опыт в области статистики, математики, информатики или смежных областях. Уверенное знание SQL, Python (pandas, numpy, scikit-learn, LightGBM/XGBoost) алгоритмов машинного обучения и статистики, опыт с Prophet, statsmodels. Глубокое понимание методов прогнозирования временных рядов. Умение выбирать и обосновывать метрики качества и бизнес-метрики. Опыт создания E2E пайплайнов ML. Подтвержденный опыт создания пайплайнов машинного обучения, работающих в продуктивной среде разработки. Опыт визуализации данных с использованием Power BI/ggplot/plotly/etc. Опыт использования облачных платформ для решения задач дата- аналитики и и запуска моделей машинного обучения в продуктивной среде. Опыт работы со стеком Yandex Cloud Platform – будет плюсом. Опыт работы с GitLab или его аналогами. Опыт работы с Airflow/Docker/Kubernetes или их аналогами. Опыт инференса моделей в MLFlow/Triton или аналогах. Средний или выше среднего уровень знания английского языка. Обязанности и ожидаемые результаты работы: Взаимодействие с бизнес-подразделениями для выявления точек роста и постановки задач на прогнозирование. E2E процесс запуска дата-продуктов в Yandex Cloud Platform. Представлять результаты моделирования для бизнес-аудитории, включая руководителей организации. Превращать неструктурированные недостатки и болевые точки в конкретные бизнес и технические требования для проверки гипотез или разработки дата-продуктов. Мы предлагаем: Официальное трудоустройство по ТК РФ; Возможность развития в рамках крупнейшей FMCG-компании; Конкурентный уровень заработной платы; Удаленный формат работы; Предоставление корпоративной техники.","['python', 'pandas', 'numpy', 'statsmodels', 'plotly', 'power_bi', 'sql', 'scikit_learn', 'xgboost', 'lightgbm', 'airflow', 'docker', 'kubernetes', 'mlflow', 'gitlab']",15,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Data Scientist,Data Scientist
Data Analyst / Аналитик данных,Генотек,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135117849?query=Data+Analyst,Data Analyst,1,135117849,['Data Analyst'],"Привет! Мы — Genotek , молодая и современная medtech компания. Работаем с технологиями будущего: проводим исследования, которые помогают людям узнать всё про свои гены, происхождение и особенности здоровья. Мы расширяем команду маркетинга и ищем Data Analyst , который поможет нам принимать обоснованные и эффективные решения для развития нашей маркетинг-стратегии. Чем предстоит заниматься: Анализом маркетинговых метрик, реализацией и поддержанием регулярных обновлений маркетинговых отчетов и дашбордов; Проведением A/B экспериментов для проверки гипотез; Постановкой задач команде разработки для формирования данных по событиям; Развитием маркетинговой аналитики, проактивным участием в поиске инсайтов. Примеры задач: Построить дашборд с графиками по количеству новых покупок для каждого канала привлечения пользователя на основе данных из Roistat и Битрикс24; Рассчитать каннибализацию маркетплейсами продаж с собственного сайта. Что мы ожидаем от тебя: Знание Python, SQL. Будет плюсом опыт работы с GitHub, Yandex DataLens, Яндекс.Метрикой, Roistat, MongoDB; Опыт подсчета инкрементальности; Опыт решения аналитических задач при помощи временных рядов; Знание ключевых продуктовых метрик и метрик юнит-экономики; Умение собирать данные из разных источников; Умение предлагать решения на основе данных и аргументировать их; Высшее образование. Мы предлагаем: Оформление по ТК РФ и его полное соблюдение (оплачиваемые отпуска, больничные), бонусы работы в аккредитованной IT- компании; График 5/2 с возможностью гибкого начала рабочего дня (с 9 до 11) и завершением работы с 18 до 20; Гибридный или удаленный формат работы; ДМС, занятия английским в Skyeng, психологические консультации от сервиса Яндекс.Здоровье и Генетический паспорт Genotek для всех сотрудников; Возможности вертикального и горизонтального роста внутри компании. Если наша вакансия подходит для тебя, а твои опыт и знания это то, что ищем мы - ждем твоего отклика!","['python', 'sql', 'mongodb', 'github']",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data analyst / аналитик данных,Data Analyst,Data Analyst
Аналитик данных / Data Analyst (Smartup),СП ООО MONO-ELECTRIC,Ташкент,Опыт 1-3 года,https://hh.ru/vacancy/136351468?query=Data+Analyst,Data Analyst,1,136351468,"['BI Analyst', 'Data Analyst']","Mono Electric — это динамично развивающееся, современное производственное предприятие, занимающее уверенные позиции в сфере производства электротехнической продукции. Мы гордимся своими масштабами, высокими стандартами качества и передовым технологическим оснащением. Мы ищем сильного аналитика-универсала , который станет единым центром экспертизы данных для всей компании. Обязанности: Сквозная коммерческая аналитика ( Smartup + 1С): Сбор, консолидация и валидация данных из Smartup, 1С, ERP и WMS; глубокий анализ Sell-in / Sell-out, АКБ, покрытия территорий и работы торговой команды. Анализ эффективности дистрибуции: Оценка ширины и глубины дистрибуции, представленности SKU, проведение ABC/XYZ-анализа, контроль оборачиваемости товаров на складах и поиск точек роста продаж. Визуализация и дашборды: Разработка, автоматизация и поддержка регулярной интерактивной отчётности (ежедневной/недельной/месячной) для руководства, отделов продаж и ВЭД. Планирование и план-факт анализ: Участие в прогнозировании продаж, выявление причин отклонений от KPI, факторный анализ проседания объемов и проверка коммерческих гипотез. Кросс-функциональная аналитика: Оцифровка бизнес-процессов смежных отделов (производство, логистика, закупки) и консолидация сводной отчётности для топ-менеджмента. Требования: Опыт работы: От 2 лет на позиции коммерческого аналитика / аналитика продаж в FMCG, дистрибуции или крупном производстве. Знание Smartup ( обязательно ): Уверенное владение функционалом Smartup Trade / SFA, опыт выгрузки и обработки массивов данных первичных и вторичных продаж. Стек и инструменты: Продвинутый Excel / Google Sheets (Power Query, сложные формулы, построение сводных таблиц). Опыт работы с базами 1С и понимание принципов консолидации данных. Опыт работы с BI-системами (Power BI / Yandex DataLens) — как плюс . Знание базового SQL (SELECT, JOIN, GROUP BY) для автоматизации выгрузок — как плюс . Коммерческое мышление: Понимание метрик дистрибуции (Sell-in / Sell-out, АКБ, представленность, оборачиваемость) и умение переводить цифры в решения для роста продаж. Условия: Финансовая стабильность: Конкурентная зарплата. Официальное трудоустройство согласно ТК РУз Дружная команда: Сильный, сплоченный коллектив, прямая поддержка руководства. Дополнительные выплаты: Оплачиваемые овертаймы (при необходимости). Комфортный офис: Современное и удобное рабочее место в Ташкенте. Высокий уровень влияния на бизнес: Ваши отчёты и гипотезы напрямую определят коммерческую стратегию, мотивацию торговой команды и расширение рынков сбыта. Разноплановые задачи: Полное отсутствие рутины — вы будете решать задачи разной сложности на стыке разных сфер бизнеса.","['power_bi', 'excel', 'power_query', 'sql']",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,аналитик данных / data analyst (smartup),Data Analyst,Data Analyst
Продуктовый аналитик,JapanStat,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136214542?query=Data+Analyst,Data Analyst,1,136214542,"['Data Analyst', 'Python Developer']","Зарекомендовавший себя среди пользователей проект Japanstat создает экосистему, которая соединяет весь рынок японских авто — от аукционов в Японии до дилеров и покупателей в России, ОАЭ, Австралии, Африке, Монголии, на Кипре и ещё в десятках стран. Это сложный B2B-продукт с высокой нагрузкой, данными в реальном времени и десятками интеграций. Мы ищем Продуктового аналитика , который возьмет на себя полную ответственность за аналитическую инфраструктуру продукта. Ваша задача — не просто отвечать на вопросы бизнеса, а выстроить единую, бесшовную экосистему данных на базе ClickHouse. Вы будете тем человеком, который превратит сырые логи в стройные витрины, настроит «золотое сечение» событий и гарантирует, что каждая цифра в дашборде — это чистая правда. Вам предстоит стать связующим звеном между «сырым» кодом разработчиков и стратегическими решениями продактов, чтобы мы двигались вперед, опираясь на железобетонные факты, а не на интуицию. Чем предстоит заниматься: Развить систему продуктовой аналитики на базе ClickHouse Упорядочить и доработать структуру аналитических данных под задачи продуктов Настроить и валидировать сбор событий (обеспечить корректность и полноту данных) Подготовить витрины данных для аналитики и дашбордов Построить и поддерживать дашборды по ключевым метрикам Проводить анализ пользовательского поведения и находить точки роста Проверять продуктовые гипотезы и помогать принимать решения на основе данных Работать напрямую с продуктовой командой над развитием data-driven подхода Участвовать в формировании аналитики для новых продуктов (в том числе B2C направления) Требования Обязательные: Опыт работы продуктовым аналитиком от 1-3 лет Уверенное владение SQL (сложные запросы, оптимизация, работа с большими объёмами данных) Опыт работы с аналитическими БД (желательно — ClickHouse или аналоги) Опыт самостоятельной разработки дашбордов в BI-инструментах (Tableau / Power BI / Looker / Metabase или аналоги) Понимание ключевых продуктовых метрик (conversion, retention, LTV и др.) Опыт анализа пользовательского поведения и поиска инсайтов Базовое понимание статистики (проверка гипотез, A/B тесты) Понимание принципов сбора данных (event tracking, структура событий) Важно: Системное мышление: способность выстроить целостную систему аналитики, а не отдельные отчёты Самостоятельность и проактивность: готовность брать задачи end-to-end Умение приоритизировать и фокусироваться на задачах с максимальным влиянием на продукт Будет плюсом: Опыт участия в построении аналитики или DWH с нуля Опыт работы с ETL/ELT пайплайнами Владение Python (pandas, numpy) Опыт работы с Amplitude / Mixpanel или аналогами Условия: Полная удалённая работа 5/2 с 9:00 до 18:00 ( переработки неприемлемы) Полностью официальное трудоустройство в аккредитованной ИТ-компании Подарки на ДР и Новый год, оплата посещения профессиональных форумов, обучения Конкурентная зарплата (вилка обсуждаема). Интереснейший домен — автомобильный рынок с живой экономикой и реальными пользователями по всему миру. Сильная команда профессионалов, где вы не будете одиноки в принятии решений. Минимальный бюрократический слой — мы ценим результат и инициативу. В сопроводительном письме, пожалуйста, расскажите кратко об опыте построения продуктовой аналитики с 0 на проекте или в компании.","['python', 'pandas', 'numpy', 'power_bi', 'tableau', 'looker', 'metabase', 'sql', 'clickhouse']",9,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,продуктовый аналитик,Data Analyst,Other
Junior Python-разработчик / технический помощник СТО,Мегасклад,Москва,Без опыта,https://hh.ru/vacancy/136267481?query=Data+Analyst,Data Analyst,1,136267481,['Data Analyst'],"Трек развития до Middle за 12–18 месяцев Удалённо · 50 000–65 000 ₽ на руки на старте · пересмотр каждые 3 месяца Ищем Junior Python-разработчика, который со временем сможет вырасти в самостоятельного Middle-разработчика или специалиста в одном из смежных технических направлений. Это не позиция, где джун просто получает мелкие задачи и «перекладывает JSON». Вы будете работать с реальной внутренней платформой, разбирать технические проблемы, писать Python-код, автоматизировать процессы и постепенно брать на себя всё более самостоятельные задачи. Роль находится на стыке backend-разработки, технической поддержки и автоматизации и предполагает непосредственную работу рядом с CTO и старшими разработчиками. Что предстоит делать С первых недель вы будете работать с реальными задачами — первоначально под контролем более опытного специалиста: принимать заявки от менеджеров, задавать уточняющие вопросы, воспроизводить проблемы и переводить их из бытового описания в понятные технические задачи; диагностировать ошибки через Django Admin, логи, PostgreSQL, management-команды и Linux-терминал ; закрывать типовые технические обращения, требующие административных действий или корректировки данных; своевременно эскалировать нетиповые и потенциально рискованные случаи; добавлять новые объекты в систему: проверять исходные данные, подготавливать их к импорту, запускать загрузку и контролировать результат; писать и дорабатывать Python-скрипты, management-команды и небольшие backend-функции ; добавлять проверки и тесты; разбирать реальные баги и постепенно участвовать в исправлении production-проблем под контролем; проходить code review у более опытных разработчиков; участвовать в автоматизации технической поддержки и внутренних процессов; работать с API, ботами и ИИ-инструментами; документировать решения повторяющихся проблем, превращая их в воспроизводимые инструкции и автоматизированные сценарии. Через 3–4 месяца при достаточном прогрессе вы сможете самостоятельно вести небольшие задачи и фичи — от постановки до релиза. Стек Основной стек текущей платформы: Python · Django · PostgreSQL · SQL · Linux · Git · Docker / Docker Compose · Яндекс Облако В зависимости от направления развития также возможна работа с: Django REST Framework, REST API, Nginx, Celery, Redis, Telegram-ботами, LLM API, tool calling, CI/CD и другими инструментами. Что мы ждём Обязательно Python — уверенное написание и отладка небольших программ и скриптов; понимание функций, классов, исключений, файлов, JSON, HTTP-запросов, зависимостей и виртуальных окружений; базовый практический опыт с Django, PostgreSQL и SQL ; SQL хотя бы на уровне JOIN и простых запросов; Git: ветки, commit, diff, pull request и понимание процесса code review; уверенная работа с Linux-терминалом и SSH; понимание логов, процессов и базовых команд Docker / Docker Compose; умение самостоятельно разобраться в незнакомой технической проблеме; нормальная коммуникация с нетехническими коллегами: задавать вопросы, уточнять факты и объяснять результат понятным языком; практический опыт работы с ChatGPT и/или Claude : умение правильно ставить техническую задачу, передавать контекст, итеративно дорабатывать решение, анализировать diff и обязательно проверять сгенерированный код и выводы. Нам важнее реальный навык, чем диплом или сертификат. Если у вас есть собственные проекты — бот, парсер, API, небольшое веб-приложение или другой живой код — покажите его. Будет большим плюсом Django / DRF; FastAPI; REST API; Docker / Docker Compose; Nginx; Яндекс Облако; Celery / Redis; Telegram-боты; импорты и миграции данных; интеграция LLM через API; tool calling и создание внутренних ИИ-инструментов; Cursor или аналогичные AI-среды разработки; интерес к DevOps, Data, автоматизации или ML/ИИ. Как устроен рост Мы не хотим, чтобы Junior годами оставался Junior. Для позиции предусмотрен трек развития до Middle на горизонте 12–18 месяцев с регулярной оценкой прогресса. 1. Персональный ментор За вами закрепляется более опытный разработчик. [14.8.2026 21:26] snff: Это не формат «спрашивай, если что»: ментор регулярно выделяет время на разбор задач, code review и технические вопросы. 2. Пересмотр каждые 3 месяца Прогресс оценивается по заранее определённым критериям, а не субъективно «по настроению руководителя». В критерии входят, например: сложность задач, которые вы способны закрывать самостоятельно; качество и архитектура кода; количество и характер замечаний на code review; способность самостоятельно диагностировать проблемы; понимание production-процессов; работа с БД, API и инфраструктурой; способность доводить задачу от постановки до результата. Первый пересмотр — через 3 месяца. При достижении уровня Middle зарплата и зона ответственности переходят на соответствующий уровень. 3. Обучение Оплачиваем релевантные курсы и профессиональную литературу. В зависимости от ваших интересов можно развиваться в сторону: Backend Python / Django DevOps и облачной инфраструктуры CI/CD SQL и Data-аналитики автоматизации ML / ИИ API-интеграций и Telegram-ботов Конкретная траектория зависит от ваших результатов, интересов и потребностей компании. Техническая разгрузка CTO и границы ответственности Позиция предполагает непосредственную работу с внутренней инфраструктурой, поэтому безопасность важнее скорости. Работа начинается с тестового контура и ограниченных прав. Доступ расширяется после успешного прохождения пилота. Запись в production-БД, массовые изменения, платежные операции, изменение прав доступа и команды с необратимым эффектом выполняются только по утверждённой инструкции и с отдельным согласованием. Никаких экспериментов, самовольных команд или незафиксированных изменений в production. Коды доступа, персональные данные, токены и секреты запрещено передавать в публичные ИИ-сервисы или вставлять в промпты. Повторяемые и безопасные операции постепенно переводятся из ручного выполнения в скрипты и автоматизацию. Условия 50 000–65 000 ₽ на руки на старте — в зависимости от уровня по итогам отбора; удалённая работа; регулярная доступность в заранее согласованные дневные интервалы по московскому времени; ориентир — 30+ часов в неделю , совмещение с учёбой обсуждается; пересмотр результатов и компенсации каждые 3 месяца; испытательный период — 3 месяца, совпадает с первым пересмотром; объём занятости, график и дальнейшее расширение зоны ответственности обсуждаются индивидуально. Как попасть Можете дать ссылку на GitHub(по желанию) и несколько слов о себе. Кратко опишите опыт с Python, ChatGPT / Claude, Linux, Django, PostgreSQL и технической поддержкой. Приведите 1–2 примера технических задач , которые вы самостоятельно решали. Пройдите небольшое тестовое задание — ориентировочно 2–3 часа , не больше. Одно техническое собеседование с будущим ментором. В отклике также укажите: доступность и желаемый объём занятости; желаемую ставку; наиболее интересное направление развития: Backend, DevOps, Data, автоматизация, ML/ИИ, интеграции или другое . Дипломы и сертификаты не обязательны. Смотрим прежде всего на реальные навыки и код. На отклики отвечаем в течение трёх рабочих дней, включая отказы.","['python', 'sql', 'postgresql', 'redis', 'llm', 'docker', 'git', 'github', 'ci_cd', 'fastapi', 'django', 'rest_api']",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,junior python-разработчик / технический помощник сто,Python Developer,Python Developer
