title,company,address,experience,url,query
Data Scientist,Ventra,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136311467?query=Data+Scientist,Data Scientist
Data Scientist,ООО Ок Софт,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136327913?query=Data+Scientist,Data Scientist
Стажер Data scientist,"ПАО Банк ПСБ, Старт карьеры",Москва,Без опыта,https://hh.ru/vacancy/136021202?query=Data+Scientist,Data Scientist
Системный аналитик,АО Просвещение,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136292099?query=Data+Scientist,Data Scientist
Аналитик данных (Data Scientist),Группа компаний НВМ,"Краснодар, р-н Прикубанский",Опыт 1-3 года,https://hh.ru/vacancy/136265966?query=Data+Scientist,Data Scientist
Data Scientist - стажер,«Zunami»,"Калининград, р-н Ленинградский",Без опыта,https://hh.ru/vacancy/136174391?query=Data+Scientist,Data Scientist
ИИ специалист,Дверянин,"Набережные Челны, БАЗА ЗАО ,,ПОДРЯД,,, 1",Опыт 1-3 года,https://hh.ru/vacancy/136266273?query=Data+Scientist,Data Scientist
Junior Data Scientist (Pricing),Drivee,Якутск,Без опыта,https://hh.ru/vacancy/135743748?query=Data+Scientist,Data Scientist
Python/DS специалист (Middle),SkillStaff,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135611250?query=Data+Scientist,Data Scientist
Ведущий разработчик искусственного интеллекта/Middle Data scientist,Геномед,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135841447?query=Data+Scientist,Data Scientist
Системный аналитик,ООО Современные Фонды Недвижимости,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136326664?query=Data+Scientist,Data Scientist
AI Engineer,"HALYK FINANCE, дочерняя организация АО Народный банк",Алматы,Опыт 1-3 года,https://hh.ru/vacancy/136177354?query=Data+Scientist,Data Scientist
Data Scientist,Selecty,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136350976?query=Data+Scientist,Data Scientist
Middle Analyst,Adviva,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136084030?query=Data+Scientist,Data Scientist
Data Scientist,Tech Duck,Польша,Опыт 3-6 лет,https://hh.ru/vacancy/136294653?query=Data+Scientist,Data Scientist
Data Scientist (Поддержка и развитие моделей прогнозирования спроса),ДИКСИ. IT,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135427343?query=Data+Scientist,Data Scientist
Junior/Middle Python Data Scientist,SL Soft,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135741195?query=Data+Scientist,Data Scientist
Менеджер проектов,Paper Planes,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136072352?query=Data+Scientist,Data Scientist
Strong Junior / Middle Risk Quant,АО ForteBank,"Астана, улица Достык, 8/1",Опыт 1-3 года,https://hh.ru/vacancy/136173116?query=Data+Scientist,Data Scientist
Стажер-ресечер,"«МТС», Стажировки",Москва,Без опыта,https://hh.ru/vacancy/136329982?query=Data+Scientist,Data Scientist
