title,company,address,experience,url,query,page,vacancy_id
Младший биоинформатик-аналитик,ООО Парсек Лаб,"Санкт-Петербург, р-н Приморский",Опыт 1-3 года,https://hh.ru/vacancy/135719646?query=Data+Analyst,Data Analyst,0,135719646
Data Ananlyst / Аналитик Данных,Ventra,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136031153?query=Data+Analyst,Data Analyst,0,136031153
Бизнес-аналитик,Группа Компаний «Аскона» | Логистика,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136361346?query=Data+Analyst,Data Analyst,0,136361346
Системный аналитик (FinTech / Crypto / Blockchain),ООО Веро Трейс,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135661700?query=Data+Analyst,Data Analyst,0,135661700
Аналитик данных,RUTUBE,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136365089?query=Data+Analyst,Data Analyst,0,136365089
Специалист по управлению данными / Аналитик данных (Data Analyst/Data Engineer),ООО Бюро Цифровой Трансформации,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136299705?query=Data+Analyst,Data Analyst,0,136299705
Бэкенд-разработчик (java),ООО ЛИПТ Софт,Санкт-Петербург,Опыт более 6 лет,https://hh.ru/vacancy/136330740?query=Data+Analyst,Data Analyst,0,136330740
Аналитик данных (Power BI),TraffCloud,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136329784?query=Data+Analyst,Data Analyst,0,136329784
Руководитель аналитики данных,ООО Альфа-Мобайл,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136187215?query=Data+Analyst,Data Analyst,0,136187215
Заместитель директора по маркетингу,ООО Имбрык,Минск,Опыт 3-6 лет,https://rabota.by/vacancy/136317462?query=Data+Analyst&hhtmFrom=vacancy_search_list,Data Analyst,0,136317462
Бизнес-аналитик,"""МТС"", Аналитика",Москва,Опыт 1-3 года,https://hh.ru/vacancy/136327869?query=Data+Analyst,Data Analyst,0,136327869
Системный аналитик Middle/Senior,.redev,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135664064?query=Data+Analyst,Data Analyst,0,135664064
Data Scientist,Ventra,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136311467?query=Data+Analyst,Data Analyst,0,136311467
Product Manager в команду Core,АО Kolesa (АО Колеса),Алматы,Опыт 3-6 лет,https://hh.ru/vacancy/136311981?query=Data+Analyst,Data Analyst,0,136311981
Финансовый директор (CFO),СберСпасибо,"Москва, р-н Дорогомилово",Опыт более 6 лет,https://hh.ru/vacancy/136172759?query=Data+Analyst,Data Analyst,0,136172759
Системный аналитик,ЛИАН,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136202014?query=Data+Analyst,Data Analyst,0,136202014
Руководитель отдела персонала (HRD/HRBP),IN HOUSE,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136245167?query=Data+Analyst,Data Analyst,0,136245167
Бизнес-аналитик,ООО Майфин,Минск,Опыт 3-6 лет,https://rabota.by/vacancy/136346114?query=Data+Analyst&hhtmFrom=vacancy_search_list,Data Analyst,0,136346114
Инженер сопровождения,ЛИАН,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136315909?query=Data+Analyst,Data Analyst,0,136315909
Java-разработчик,ООО ВЫСОКИЕ ТЕХНОЛОГИИ ДЛЯ БИЗНЕСА,"Оренбург, р-н Центральный",Опыт 1-3 года,https://hh.ru/vacancy/136237665?query=Data+Analyst,Data Analyst,0,136237665
Data Analyst / Аналитик данных,Генотек,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135117849?query=Data+Analyst,Data Analyst,1,135117849
Middle+/Senior Бизнес-/системный аналитик,ООО SpbDev,Москва,Опыт более 6 лет,https://hh.ru/vacancy/135655138?query=Data+Analyst,Data Analyst,1,135655138
HR-generalist в IT-компанию,АЭРО,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136265496?query=Data+Analyst,Data Analyst,1,136265496
Аналитик данных / Data Analyst (Smartup),СП ООО MONO-ELECTRIC,Ташкент,Опыт 1-3 года,https://hh.ru/vacancy/136351468?query=Data+Analyst,Data Analyst,1,136351468
Продуктовый аналитик,JapanStat,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136214542?query=Data+Analyst,Data Analyst,1,136214542
Директор по информационным технологиям (CIO),ТОО КОМЕК МАШИНЕРИ Казахстан,"Астана, проспект Нургисы Тлендиева, 4/3",Опыт 3-6 лет,https://hh.ru/vacancy/136306344?query=Data+Analyst,Data Analyst,1,136306344
Бизнес-аналитик,ООО Газпромнефть-Региональные продажи,Санкт-Петербург,Опыт 1-3 года,https://hh.ru/vacancy/136362849?query=Data+Analyst,Data Analyst,1,136362849
Java разработчик,Ингосстрах,Нижний Новгород,Опыт 3-6 лет,https://hh.ru/vacancy/136259707?query=Data+Analyst,Data Analyst,1,136259707
